sort_date	record_type	category	status	display_title	presentation_title	presentation_type	location_display	city	country	online	privacy_redacted	source
2019-11-03	event	conference	attended	Quark Matter 2019			Wuhan, China	Wuhan	China	no	no	cv_conferences_meetings_schools
2019-10-31	presentation	talk	given	Workshop on new development of hydrodynamics	Hydrodynamics and thermalization in heavy-ion collisions	contributed talk	Shanghai, China	Shanghai	China	no	no	cv_presentations
2019-10-30	event	workshop	attended	Workshop on new development and applications of hydrodynamics			Shanghai, China	Shanghai	China	no	no	cv_conferences_meetings_schools
2019-10-16	presentation	talk	given	APS DNP Meeting 2019	Fluctuation dynamics near the QCD critical point	contributed talk	Arlington, VA, USA	Arlington	USA	no	no	cv_presentations
2019-10-14	event	meeting	attended	APS DNP Meeting 2019			Arlington, VA, USA	Arlington	USA	no	no	cv_conferences_meetings_schools
2019-07-08	event	school	attended	National Nuclear Physics Summer School 2019			Knoxville, TN, USA	Knoxville	USA	no	no	cv_conferences_meetings_schools
2019-05-13	presentation	talk	given	BEST Collaboration Annual Meeting 2019	Fluctuation dynamics near the QCD critical point with Hydro+	contributed talk	Raleigh, NC, USA	Raleigh	USA	no	no	cv_presentations
2019-05-12	event	meeting	attended	BEST Collaboration Annual Meeting 2019			Raleigh, NC, USA	Raleigh	USA	no	no	cv_conferences_meetings_schools
2019-02-11	event	workshop	attended	JETSCAPE SIMS Group Mini-Workshop			Detroit, MI, USA	Detroit	USA	no	no	cv_conferences_meetings_schools
2019-01-03	event	school	attended	JETSCAPE Winter School and Workshop 2019			College Station, TX, USA	College Station	USA	no	no	cv_conferences_meetings_schools
2018-08-20	presentation	talk	given	BEST Collaboration Annual Meeting 2018	Hybrid model with dynamical sources for heavy-ion collisions at BES energies	contributed talk	Berkeley, CA, USA	Berkeley	USA	no	no	cv_presentations
2018-08-20	event	meeting	attended	BEST Collaboration Annual Meeting 2018			Berkeley, CA, USA	Berkeley	USA	no	no	cv_conferences_meetings_schools
2018-07-02	presentation	seminar	given	Central China Normal University seminar	Dynamical initialization and baryon evolution in hybrid models of heavy-ion collisions	seminar	Wuhan, China	Wuhan	China	no	no	cv_presentations
2018-06-26	presentation	seminar	given	Peking University seminar	Dynamical initialization and baryon evolution in hybrid models of heavy-ion collisions	seminar	Beijing, China	Beijing	China	no	no	cv_presentations
2018-05-30	presentation	seminar	given	ECT* Doctoral Training Program	Dynamical initialization of heavy-ion collisions at BES energies	seminar	Trento, Italy	Trento	Italy	no	no	cv_presentations
2018-05-28	event	school	attended	ECT* Doctoral Training Program 2018			Trento, Italy	Trento	Italy	no	no	cv_conferences_meetings_schools
2018-05-16	presentation	talk	given	Quark Matter 2018	Hybrid model of heavy-ion collisions at BES energies with dynamical sources	contributed talk	Venice, Italy	Venice	Italy	no	no	cv_presentations
2018-05-13	event	conference	attended	Quark Matter 2018			Venice, Italy	Venice	Italy	no	no	cv_conferences_meetings_schools
2018-04-16	presentation	talk	given	APS April Meeting 2018	(3+1)D hybrid model of heavy-ion collisions at BES energies with dynamical sources	contributed talk	Columbus, OH, USA	Columbus	USA	no	no	cv_presentations
2018-04-14	event	meeting	attended	APS April Meeting 2018			Columbus, OH, USA	Columbus	USA	no	no	cv_conferences_meetings_schools
2018-01-03	event	school	attended	JETSCAPE Winter School and Workshop 2018			Berkeley, CA, USA	Berkeley	USA	no	no	cv_conferences_meetings_schools
2017-08-05	event	meeting	attended	BEST Collaboration Annual Meeting 2017			Stony Brook, NY, USA	Stony Brook	USA	no	no	cv_conferences_meetings_schools
2017-08-01	event	meeting	attended	JETSCAPE Collaboration Meeting 2017			Columbus, OH, USA	Columbus	USA	no	no	cv_conferences_meetings_schools
